"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",2250,1196.82461201448,937.106476776412,701.350171560838,806.91370620848,559.539415020111,465.827191758309,713.23768069418,413.798384877412,398.439825281078,385.932560005408,333.853000095916,357.136162037591,338.546728732696,341.032227802051
"2",2250,1196.82461201448,937.106476776412,862.776213590318,809.972871956471,516.408232143399,585.026249518253,434.074802777951,417.812216414416,498.099486273167,390.288768877195,373.486715821603,436.61637951827,428.108601963124,334.699966191415
"3",2250,1196.82461201448,960.335476078694,845.796761207911,787.215383086952,574.102159779898,465.827191758309,460.191315842853,423.042170093754,406.970476916488,461.844986374628,371.680339592614,448.670102012681,311.286113741223,336.253257714853
"4",2250,1196.82461201448,937.106476776412,847.099692819595,787.215383086952,616.721962856527,555.199353995259,541.002228038351,502.014618961147,425.899353574965,368.504444922868,369.286000610403,361.901468061782,460.274129596778,336.44212003645
"5",2250,1196.82461201448,937.106476776412,701.350171560838,670.58017838131,516.398712063159,534.354528973666,536.129021054044,433.140288453709,409.82355994699,354.13614705404,371.14527811044,444.959668186383,349.333590624566,334.135048220206
"6",2250,1196.82461201448,937.106476776412,847.099692819595,610.886298813439,574.102159779898,733.54012011145,572.792928677777,427.907259331161,403.197630491729,381.912979439061,451.15005145309,334.217002929904,343.740959975637,333.985776992506
"7",2250,1196.82461201448,937.106476776412,847.099692819595,639.258859684099,574.102159779898,590.285912776461,434.074802777951,422.345075945512,407.482196612408,403.010980176652,362.079391198024,317.059331082987,353.829019937061,336.65789995294
"8",2250,1196.82461201448,937.106476776412,866.705303124598,787.215383086952,516.408232143399,737.103898449255,434.074802777951,417.685150599035,394.177835626404,380.71791270758,504.408123777541,334.452978077453,345.411473277539,356.165468635021
"9",2250,1196.82461201448,937.106476776412,867.359251752764,610.533699364757,516.408232143399,523.997713911803,448.065281120601,515.468283142852,473.303737238008,465.974683470477,375.290721114252,338.159759914989,343.460246853514,331.221122174377
"10",2250,1196.82461201448,937.106476776412,845.796761207911,610.533699364757,760.710842938609,479.587797365275,434.201868593332,484.096357273845,412.880859112853,381.120145207079,372.16678138899,329.330982762638,364.430804946876,329.211551539709
